558,,Jaguar,send1,prep,404528,1,0,132,132000,500,1100,240,3,22,6,11,6,0,1,"1,727",64.7
559,,Jaguar,send2,prep,404529,1,0,132,132000,500,1100,240,3,22,6,11,6,0,2,"1,676",66.6
560,,Jaguar,send4,prep,404530,1,0,132,132000,500,1100,240,3,22,6,11,6,0,4,"1,699",65.7
561,,Jaguar,send5,prep,404531,1,0,132,132000,500,1100,240,3,22,6,11,6,0,5,"1,692",66
553,,Jaguar,baseline,done,,1,0,132,132000,500,1100,240,3,22,6,11,6,0,3,1669,66.9
822,,Jaguar,send1,done,405618,2,0,528,264000,500,1100,240,3,44,12,22,3,0,1,"3,403",65.7
823,,Jaguar,send2,done,405619,2,0,528,264000,500,1100,240,3,44,12,22,3,0,2,"3,328",67.1
824,,Jaguar,send4,done,405620,2,0,528,264000,500,1100,240,3,44,12,22,3,0,4,"3,386",66
825,,Jaguar,send5,done,405621,2,0,528,264000,500,1100,240,3,44,12,22,3,0,5,"3,316",67.4
776,,Jaguar,baseline,done,405316,2,0,528,264000,500,1100,240,3,44,12,22,3,0,3,"3,401",65.7
842,,Jaguar,send1,done,405661,3,30,2112,528000,500,1100,240,3,88,24,44,3,0,1,"6,912",64.6
843,,Jaguar,send2,done,405662,3,30,2112,528000,500,1100,240,3,88,24,44,3,0,2,"6,740",66.3
844,,Jaguar,send4,done,405663,3,30,2112,528000,500,1100,240,3,88,24,44,3,0,4,"6,673",67
845,,Jaguar,send5,done,405664,3,30,2112,528000,500,1100,240,3,88,24,44,3,0,5,"6,631",67.4
806,,Jaguar,baseline,done,405540,3,30,2112,528000,500,1100,240,3,88,24,44,3,0,3,"6,733",66.4
